amino,atom,cluster,dist,angle,dihed,prob
ALA,N,N2,2.22440522187562,149.123149809261,19.0031455720962,0.734209611413847
ALA,N,N2,2.11643361089467,142.575908957303,10.2881292891943,0.265790388586154
ALA,N,N3,2.22880109641284,149.284127040877,17.9165808604456,1
ALA,O,N0,3.26708837044459,154.324543584838,148.900117552697,0.637075367035447
ALA,O,N0,2.93168717914294,122.422296985197,56.7604256830692,0.198106410426159
ALA,O,N0,3.29660312470439,157.075200372034,-156.396524121627,0.164818222538394
ALA,O,N1,3.16294324853227,147.106397912589,119.962510110894,1
ALA,O,N2,2.72552049278868,119.550088001673,-146.227643894581,0.743418788713008
ALA,O,N2,2.98932238706583,135.503269304457,130.709773880266,0.256581211286992
ALA,O,N3,2.72698513545904,119.358610644929,-137.316708223447,1
CYS,CB,N0,0.994651162790698,79.1213953488372,92.4116279069767,1
CYS,CB,N1,0.782374557451996,61.5656752086295,98.9630741046479,0.75022037482052
CYS,CB,N1,0.941502726528391,71.7077139432929,95.2062361438858,0.24977962517948
CYS,CB,N2,1.19584492965544,92.2013813826578,105.255765250519,0.393680283210694
CYS,CB,N2,1.0673935217401,83.8698255939496,91.4334648384294,0.248887008057731
CYS,CB,N2,0.754546978503204,58.719434275709,92.2108933736338,0.357432708731575
CYS,CB,N3,1.11866740102156,86.8435887451826,91.6390006246781,0.206934868784317
CYS,CB,N3,1.17223858354945,90.8302391158938,103.783371273929,0.793065131215683
CYS,C,N0,2.2532405656129,146.305823891441,172.3910620553,0.822222222222222
CYS,C,N0,2.19755722014149,143.767608267443,-137.130685809405,0.177777777777778
CYS,C,N1,2.24886081560285,146.403896276596,145.231108156028,1
CYS,C,N2,2.22372394966823,144.780955316041,158.839560549521,0.441799633795449
CYS,C,N2,2.17911443162361,141.830184178306,-164.025301585397,0.558200366204551
CYS,C,N3,2.20004761904761,143.039333333333,-140.561773809524,1
CYS,H,N1,2.78879877434069,143.259940250762,34.3462926151634,0.133310150975822
CYS,H,N1,2.69940698072814,144.870655119464,39.8872407178829,0.362798912402185
CYS,H,N1,2.50725875660829,133.028761261611,41.0169202786475,0.402910016268183
CYS,H,N1,2.27077840287823,120.009562246076,31.5260449880584,0.10098092035381
CYS,H,N2,2.35157550983907,121.77746580018,14.5996138801952,0.182223479151967
CYS,H,N2,2.77199527613292,141.728863384229,45.713104512406,0.210751043273887
CYS,H,N2,2.59398200377336,138.142097414954,44.4471745554038,0.607025477574147
CYS,N,N0,2.12707422676847,142.805741736023,8.87572074957294,0.819195296937008
CYS,N,N0,2.06955689520209,140.395160877376,7.94267227183703,0.180804703062992
CYS,N,N1,2.1301384528634,143.259848271288,13.9798207908964,0.36920782043574
CYS,N,N1,2.06986700432872,139.809759254471,15.7409479653935,0.4983121570698
CYS,N,N1,2.13935297755797,144.088467399337,8.35202005005887,0.132480022494461
CYS,N,N2,2.22961638766231,149.494575804606,19.1467800219821,0.598171785570956
CYS,N,N2,2.08853597336082,140.877867492806,13.7217102101774,0.300378375885993
CYS,N,N2,2.20921130182978,148.2725877593,6.36650792243103,0.101449838543051
CYS,N,N3,2.22821428571428,149.319226190476,17.268619047619,1
CYS,O,N0,3.29409832236748,156.674362926885,154.965577544219,0.866666666666667
CYS,O,N0,3.17017896099094,149.298984655204,-116.559537437604,0.133333333333333
CYS,O,N1,3.12371607756082,144.001595991101,128.931951219343,0.819070205732949
CYS,O,N1,3.28054973408238,158.17478559411,74.0483135117185,0.18092979426705
CYS,O,N2,2.93399208399357,132.099644870818,132.047403689429,0.440691280439906
CYS,O,N2,2.69751453283553,118.210632587879,-148.583222511437,0.559308719560094
CYS,O,N3,2.71687799043062,119.01216507177,-128.13033492823,1
CYS,SG,N0,2.72214492321,96.3968529318027,93.4358919517501,0.880951841926877
CYS,SG,N0,2.18295124584813,57.2291213194181,32.6512547708638,0.119048158073123
CYS,SG,N1,1.94691189129446,37.1989308881123,-13.7446253724166,0.475221798263297
CYS,SG,N1,2.60592477273586,88.9168601248118,94.9524987102821,0.319642750800384
CYS,SG,N1,2.06527970008247,50.3404606259486,165.018002780014,0.20513545093632
CYS,SG,N2,2.11667771318302,55.119509773603,161.166391097968,0.292690102330192
CYS,SG,N2,1.95401814585485,39.6522918272669,4.18956013304453,0.209760260042079
CYS,SG,N2,2.14410043814406,58.4397519247929,47.3367909538471,0.34898736065136
CYS,SG,N2,2.68124746109304,92.384159651098,95.0837272160167,0.148562276976368
CYS,SG,N3,2.12608492970517,56.3646467034226,48.5226164481047,0.266108398878673
CYS,SG,N3,2.1168931048919,54.7706189840136,150.56718959431,0.189905061263683
CYS,SG,N3,2.11599271342496,55.8170045081047,54.69867316585,0.390244754128338
CYS,SG,N3,2.80802125421058,100.060275146532,106.545582897645,0.153741785729307
ASP,CB,N1,0.87325234930095,67.9314279165713,99.2078203071279,1
